,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
184,11:31:09,0:43:25,"(-7.649187, -1.032640245, -0.45895122)","(43.05, -5.1, 33.449999999999996)"
185,11:31:19,0:43:35,"(-7.916908544999999, 0.15298374, -3.8628394349999997)","(48.449999999999996, 21.75, 12.75)"
186,11:31:30,0:43:46,"(-12.2386992, -1.874050815, -2.67721545)","(48.449999999999996, 24.15, 22.05)"
187,11:31:40,0:43:56,"(-9.523237815, -1.109132115, -2.52423171)","(43.05, 22.2, 42.75)"
188,11:31:51,0:44:7,"(-6.50180895, 0.07649187, -5.086709354999999)","(43.199999999999996, 34.05, 16.05)"
189,11:32:01,0:44:18,"(-9.79095936, -0.91790244, -2.256510165)","(41.4, 38.699999999999996, 13.95)"
190,11:32:12,0:44:28,"(-11.129567084999998, -0.22947561, -6.04285773)","(42.6, 36.15, 32.55)"
191,11:32:22,0:44:39,"(-13.271339444999999, -0.191229675, -2.944936995)","(48.0, 0.6, 7.35)"
192,11:32:33,0:44:49,"(-7.840416675, -0.22947561, -3.786347565)","(42.9, -12.6, 6.8999999999999995)"
193,11:32:43,0:45:0,"(-11.4737805, -0.07649187, -3.556871955)","(41.1, 3.15, 43.8)"
194,11:32:54,0:45:10,"(-9.370254075, -1.14737805, -2.103526425)","(36.6, 43.65, 15.899999999999999)"
195,11:33:05,0:45:21,"(-10.78535367, -0.22947561, -5.698644315)","(46.199999999999996, -3.0, 2.55)"
196,11:33:15,0:45:31,"(-7.916908544999999, -1.032640245, -1.262115855)","(24.9, 1.05, 50.85)"
197,11:33:26,0:45:42,"(-10.40289432, -0.49719715499999995, -4.0540691099999995)","(48.0, 8.1, 0.75)"
198,11:33:36,0:45:52,"(-10.24991058, 0.45895122, -4.6660040700000005)","(46.199999999999996, -10.35, 12.15)"
199,11:33:47,0:46:3,"(-8.94954879, -1.568083335, -1.22386992)","(46.949999999999996, 17.55, 30.9)"
200,11:33:57,0:46:13,"(-9.1790244, 0.30596748, -6.2340874049999995)","(46.05, -9.0, 5.85)"
201,11:34:08,0:46:24,"(-10.86184554, -0.07649187, -2.60072358)","(44.4, 6.75, -7.5)"
202,11:34:19,0:46:35,"(-7.49620326, 0.038245935, -2.06528049)","(37.35, -15.6, 35.1)"
203,11:34:29,0:46:45,"(-8.337613829999999, 0.68842683, -5.73689025)","(48.75, -2.6999999999999997, 10.799999999999999)"
204,11:34:40,0:46:56,"(-12.468174809999999, -2.715461385, -2.715461385)","(42.75, 30.299999999999997, 22.2)"
205,11:34:50,0:47:6,"(-10.32640245, -0.45895122, -2.0270345549999997)","(44.55, -0.44999999999999996, 3.9)"
206,11:35:01,0:47:17,"(-8.72007318, -0.956148375, -2.90669106)","(50.4, 6.45, 18.9)"
207,11:35:11,0:47:27,"(-8.79656505, -0.573689025, -1.874050815)","(47.55, -1.65, 27.599999999999998)"
208,11:35:22,0:47:38,"(-10.135172775000001, 0.038245935, -5.698644315)","(37.8, 35.85, 30.15)"
209,11:35:32,0:47:48,"(-9.484991879999999, -1.032640245, -0.726672765)","(40.5, 32.699999999999996, 1.05)"
210,11:35:43,0:47:59,"(-9.25551627, 0.956148375, -6.463563015)","(41.25, -3.5999999999999996, -10.95)"
211,11:35:53,0:48:10,"(-9.140778465, 0.07649187, -4.857233745)","(33.15, 39.0, 18.3)"
212,11:36:04,0:48:20,"(-9.79095936, -0.9943943099999999, -2.06528049)","(45.15, 28.65, 4.8)"
213,11:36:15,0:48:31,"(-9.9439431, 0.15298374, -6.57830082)","(46.05, 14.1, -0.75)"
214,11:36:25,0:48:41,"(-9.599729685, -0.61193496, -1.5298374)","(28.349999999999998, 47.25, 24.75)"
215,11:36:36,0:48:52,"(-9.02604066, -0.191229675, -4.5895122)","(48.15, 20.4, 17.25)"
216,11:36:46,0:49:2,"(-10.058680905000001, -1.338607725, -0.15298374)","(38.4, 37.5, 8.7)"
217,11:36:57,0:49:13,"(-12.391682939999999, 0.420705285, -4.5895122)","(46.5, -10.5, 10.65)"
